date,hour,Average Wait Time,Max Wait Time,time
10/21/2019,1800 - 1900,16,36,450
10/21/2019,1900 - 2000,24,72,451
10/21/2019,2000 - 2100,35,84,452
10/22/2019,0000 - 0100,12,23,456
10/22/2019,0900 - 1000,14,27,465
10/22/2019,1000 - 1100,17,36,466
10/22/2019,1100 - 1200,23,51,467
10/22/2019,1200 - 1300,35,63,468
10/22/2019,1300 - 1400,16,49,469
10/22/2019,1400 - 1500,40,82,470
10/22/2019,1600 - 1700,16,39,472
10/22/2019,1700 - 1800,22,47,473
10/22/2019,1800 - 1900,21,58,474
10/22/2019,1900 - 2000,34,73,475
10/22/2019,2000 - 2100,21,36,476
10/22/2019,2100 - 2200,11,25,477
10/22/2019,2200 - 2300,12,30,478
10/22/2019,0500 - 0600,33,52,461
10/22/2019,0600 - 0700,13,27,462
10/22/2019,0800 - 0900,11,20,464
10/22/2019,0900 - 1000,18,38,465
10/22/2019,1000 - 1100,10,29,466
10/22/2019,1100 - 1200,35,56,467
10/22/2019,1200 - 1300,36,90,468
10/22/2019,1300 - 1400,31,67,469
10/22/2019,1400 - 1500,22,68,470
10/22/2019,1500 - 1600,36,82,471
10/22/2019,1600 - 1700,48,94,472
10/22/2019,1700 - 1800,39,69,473
10/22/2019,1800 - 1900,10,21,474
10/22/2019,1900 - 2000,12,30,475
10/22/2019,2000 - 2100,30,88,476
10/22/2019,2100 - 2200,21,41,477
10/23/2019,0000 - 0100,13,24,480
10/23/2019,0100 - 0200,9,20,481
10/23/2019,0800 - 0900,22,40,488
10/23/2019,0900 - 1000,10,20,489
10/23/2019,1000 - 1100,15,30,490
10/23/2019,1100 - 1200,35,61,491
10/23/2019,1200 - 1300,23,42,492
10/23/2019,1300 - 1400,12,26,493
10/23/2019,1400 - 1500,30,79,494
10/23/2019,1500 - 1600,16,30,495
10/23/2019,1600 - 1700,16,36,496
10/23/2019,1700 - 1800,22,58,497
10/23/2019,1800 - 1900,33,68,498
10/23/2019,1900 - 2000,17,43,499
10/23/2019,2000 - 2100,27,52,500
10/23/2019,2100 - 2200,15,45,501
10/23/2019,0500 - 0600,32,87,485
10/23/2019,0600 - 0700,28,68,486
